,제목,본문,본문 댓글,답변,태그,,
186,파이폭스에서 윈도우미디어 플러그인 설치문제 입니다.,"파이어폭스에서 윈도우미디어플레이어를 재생하려면 gecko-mediaplayer-1.0.9b 있어야 한다고 해서 다운받아 압축까지는 풀었는데 그다음부터 어떻게 해야 할까요?

-rw-rw-r-- 1 drkim drkim      0  1월  4  2014 AUTHORS
-rw-rw-r-- 1 drkim drkim  18002  1월  4  2014 COPYING
-rw-rw-r-- 1 drkim drkim  17642  1월 10  2014 ChangeLog
drwxrwxr-x 3 drkim drkim   4096  1월 10  2014 DOCS
-rw-rw-r-- 1 drkim drkim  15749  1월  4  2014 INSTALL
-rw-rw-r-- 1 drkim drkim    899  1월  4  2014 Makefile.am
-rw-rw-r-- 1 drkim drkim  29732  1월 10  2014 Makefile.in
-rw-rw-r-- 1 drkim drkim      0  1월  4  2014 NEWS
-rw-rw-r-- 1 drkim drkim      0  1월  4  2014 README
-rw-rw-r-- 1 drkim drkim  64308  1월 10  2014 aclocal.m4
-rwxrwxr-x 1 drkim drkim   7235  1월  4  2014 compile
-rwxrwxr-x 1 drkim drkim  45449  1월  4  2014 config.guess
-rw-rw-r-- 1 drkim drkim   2623  1월 10  2014 config.h
-rw-rw-r-- 1 drkim drkim   2419  1월 10  2014 config.h.in
-rw-rw-r-- 1 drkim drkim  28016  9월 10 12:27 config.log
-rwxrwxr-x 1 drkim drkim  33774  1월  4  2014 config.sub
-rwxrwxr-x 1 drkim drkim 313134  1월 10  2014 configure
-rw-rw-r-- 1 drkim drkim   7614  1월 10  2014 configure.in
-rwxrwxr-x 1 drkim drkim  20842  1월  4  2014 depcomp
-rw-rw-r-- 1 drkim drkim   2575  1월  4  2014 gecko-mediaplayer.schemas
-rw-rw-r-- 1 drkim drkim   1697  1월 10  2014 gecko-mediaplayer.spec
-rw-rw-r-- 1 drkim drkim   1711  1월  4  2014 gecko-mediaplayer.spec.in
-rwxrwxr-x 1 drkim drkim  13997  1월  4  2014 install-sh
-rw-rw-r-- 1 drkim drkim 243245  1월  4  2014 ltmain.sh
-rwxrwxr-x 1 drkim drkim  10179  1월  4  2014 missing
-rwxrwxr-x 1 drkim drkim   3538  1월  4  2014 mkinstalldirs
drwxrwxr-x 2 drkim drkim   4096  9월 10 12:27 po
drwxrwxr-x 2 drkim drkim   4096  1월 10  2014 src",No Comments Exist,"
./configure

make

sudo make install




<---------댓글----------->



*************************************************************
","gecko
mediaplayer",,
187,libnet 설치하려는데 오류가 납니다.,"


./../include/./libnet/libnet-functions.h:1433:1: warning: inline function ‘libnet_getgre_length’ declared but never defined
 libnet_getgre_length(u_int16_t fv);
 ^
gcc  -g -O2 -Wall   -o bgp4_notification  bgp4_notification.o ../src/libnet.a 
gcc -DHAVE_CONFIG_H -I. -I. -I../include     -g -O2 -Wall -c `test -f 'gre.c' || echo './'`gre.c
gre.c: In function ‘main’:
gre.c:180:11: warning: pointer targets in assignment differ in signedness [-Wpointer-sign]
   routing = optarg;
           ^
gre.c:319:36: warning: pointer targets in passing argument 1 of ‘strlen’ differ in signedness [-Wpointer-sign]
  size += LIBNET_GRE_SRE_H + strlen(routing);
                                    ^
In file included from ./../include/libnet.h:64:0,
                 from ./libnet_test.h:13,
                 from gre.c:81:
/usr/include/string.h:394:15: note: expected ‘const char *’ but argument is of type ‘u_char * {aka unsigned char *}’
 extern size_t strlen (const char *__s)
               ^
gre.c:323:13: warning: pointer targets in passing argument 1 of ‘strlen’ differ in signedness [-Wpointer-sign]
      strlen(routing),                        /* routing length */
             ^
In file included from ./../include/libnet.h:64:0,
                 from ./libnet_test.h:13,
                 from gre.c:81:
/usr/include/string.h:394:15: note: expected ‘const char *’ but argument is of type ‘u_char * {aka unsigned char *}’
 extern size_t strlen (const char *__s)
               ^
gre.c:382:13: warning: pointer targets in passing argument 1 of ‘libnet_autobuild_ethernet’ differ in signedness [-Wpointer-sign]
             ""11:11:11:11:11:11"",                                    /* ethernet
             ^
In file included from ./../include/libnet.h:124:0,
                 from ./libnet_test.h:13,
                 from gre.c:81:
./../include/./libnet/libnet-functions.h:505:1: note: expected ‘u_int8_t * {aka unsigned char *}’ but argument is of type ‘char *’
 libnet_autobuild_ethernet(u_int8_t *dst, u_int16_t type, libnet_t *l);
 ^
gre.c: At top level:
./../include/./libnet/libnet-functions.h:1433:1: warning: inline function ‘libnet_getgre_length’ declared but never defined
 libnet_getgre_length(u_int16_t fv);
 ^
gcc  -g -O2 -Wall   -o gre  gre.o ../src/libnet.a 
gre.o: In function `main':
/home/ubuntu2/Downloads/libnet/sample/gre.c:336: undefined reference to `libnet_getgre_length'
collect2: error: ld returned 1 exit status
Makefile:482: recipe for target 'gre' failed
make[1]: *** [gre] Error 1
make[1]: Leaving directory '/home/ubuntu2/Downloads/libnet/sample'
Makefile:166: recipe for target 'all-recursive' failed
make: *** [all-recursive] Error 1


자꾸 이런 오류가 나서 설치가 안되는거 같은데 어떻게 해결해야 할까요",No Comments Exist,"
뭘 하시려는지 모르겠습니다만.. 일단 libnet 패키지를 설치해보세요..

sudo apt-get install libnet1-dev




<---------댓글----------->



*************************************************************
",설치,,
188,맥북에 우분투 os,"안녕하세요

맥북에 리눅스 운영체제를 설치하는것에 대한 조언을 듣기 위해서 질문을 씁니다

여기저기에서 글을 읽이 보았는데 설치 하는것이 조금 어렵다, 파티션을 하면 업데이트가 생길때마다 설정을 다시 해줘야한다 이런 조언들을 읽어보았습니다

맥북에 설치되어있는 os 를 우분투로 사용하였을때 장단점에 대한 조언을 부탁드리고 싶습니다

감사합니다.",No Comments Exist,No Answers Exist,"#맥북
#우분투",,
189,우분투 멀티부팅에서 윈도우가 인식되지 않습니다.,"윈도우10을 사용하는 사용자입니다.
우분투 듀얼부팅으로 설치를 했습니다.
Grub에 윈도우가 뜨지 않습니다.
Boot repair작업도 해 보았으나 gpt를 찾았다며 안된다는 메세지만 뜹니다.

제가 처음에 설치할 때 secure mode가 bios에 없더군요. 이거때문에 인식이 안되는걸까요.

어떻게해야하나요 살려주세요..

GPT를 발견했습니다. BIOS-Boot 파티션을 생성하십시오 (>1MB, 포맷되지 않은 파일 시스템, bios_grub 플래그). 이것은 Gparted과(와) 같은 도구들을 통해 수행될 수 있습니다. 그러고 나서 다시 실행하십시오.

다음과 같이 나옵니다.",No Comments Exist,"
제 경험상 이러한 경우는 윈도우는 Legacy/UEFI 방식으로 설치되었으나, Bios에서 다른 OS를 추후 설치 할 경우에는 반대로 설치되려 하기 때문입니다.

쉽게 말씀드려서, 처음에 컴퓨터가 출고될 때 윈도우는 Legacy 방식으로 설치되어서 출고가 되었는데, BIOS 세팅에서는 UEFI로 되어 서로간의 OS가 제대로 인식이 안되는 경우가 발생합니다.

1. 먼저 컴퓨터의 Bios 설정에서 현재 OS 설치 방식이 UEFI인지 Legacy인지 확인하여 주시고, Legacy로 변경해도 윈도우가 부팅이 되는지 확인하여 주십시오.

2. 우분투를 다시 재설치 해 보시기 바랍니다.

오류 과정에 대한 사진이 있으면 더 자세하게 답변이 될 수 있습니다. 감사합니다.




<---------댓글----------->



*************************************************************
","#윈도우
#부팅
#bios
#grub",,
190,재부팅/종료 가 제대로 되지 않습니다,"연구용 시뮬레이션을 위해 리눅스를 배우려고 우분투를 설치하였는데요. 일단 어찌저찌 설치는 된것 같은데 재부팅 하면 커맨드화면에 message dropped 로 시작하는 문장이 끝없이 올라오고 재부팅은 되지 않습니다. 종료를 하려면 그냥 화면만 까매지고 반응을 안하네요. 우분투 내에서 반응속도도 많이 느리네요. 리눅스를 처음 사용해보는지라 정보를 찾아봐도 무슨 소린지 모르겠고... 혹시 해결방법 쉽게 설명해 주실수 있으시면 부탁 드립니다. 

우분투 16.04.1 버전입니다",No Comments Exist,"
안녕하세요, 현재 말씀해주신 내용만으로는 어떠한 오류인지 검색이 되지 않습니다.

오류가 발생한 부분을 사진이나 스크린샷 등을 첨부하여 주시면 답변이 좀 더 수월할 것 같습니다.

도움 드리지 못해 죄송하게 생각합니다.

감사합니다.




<---------댓글----------->



*************************************************************
","#부팅
#종료
#속도",,
191,Ubuntu 14.04에서 apt-get update 중 NVIDIA 저장소 오류 발생,"

W: 디지털 서명 확인에 오류가 발생했습니다. 저장고를 업데이트하지 않고 예전의 인덱스 파일을 사용합니다. GPG 오류: http://developer.download.nvidia.com  Release: 다음 서명들은 공개키가 없기 때문에 인증할 수 없습니다: NO_PUBKEY F60F4B3D7FA2AF80

W: http://developer.download.nvidia.com/compute/cuda/repos/ubuntu1404/x86_64/Release 파일을 받는데 실패했습니다

sudo apt-get update 하는데 저장소 중 하나에서 위와 같은 오류가 발생",No Comments Exist,"

NVIDIA에서 공지한 바(Ref.2)에 따르면 repository signing key가 바뀌었다고 한다.
그래서 기존 key를 삭제하고 새로운 key를 추가해주어야 한다.

그래서 아래와 같은 명령어를 차례로 실행하면 된다. (sudo 권한 필요)

## Remove old Nvidia keys
sudo apt-key del 5C37D3BE
sudo apt-key del F60F4B3D7FA2AF80

## Add new Nvidia repo signing key
wget -qO - http://developer.download.nvidia.com/compute/cuda/repos/ubuntu1404/x86_64/7fa2af80.pub | sudo apt-key add -



참조한 글 References

http://askubuntu.com/questions/831386/gpgkeys-key-f60f4b3d7fa2af80-not-found-on-keyserver
https://devtalk.nvidia.com/default/topic/968891/repository-signing-key-change/




<---------댓글----------->



*************************************************************
","apt-get
nvidia
gpg",,
192,사진 검색 단축키 변경 (super + c),"안녕하세요.

우분투 초보이구요. 16을 이용중입니다.

어디에서든 super + c를 누르기만 하면 지금 사진 검색이 뜨는데

이 단축키를 비활성하는 방법은 없나요?

아니면 다른 키로 변경하는 방법이라도 있다면 무엇이든 좋습니다.",No Comments Exist,No Answers Exist,"우분투
유니티
대시
단축키",,
193,사실 OS라기보다는 Vim 질문입니다. 블럭같은게 잡혔는데 안 없어져요.,"
안녕하세요.
약간 얼처기 없는 질문일 수도 있는데 저와 구글범주에서 처리가 안되서 올려요
일단 OS는 CENTOS 7이고 Xshell로 접속해서 사용하고는 있습니다.
Vim 에디터로 편집을 하다가 뭔가 키를 잘 못눌러서 --recording---이런게 떴는데 
거기서 또 키를 뭐를 잘못 눌렀는지
아래 그림처럼 노란색 블록이 자동으로 먹혀 있습니다.
제가 직접한거는 열번호가 노란색이에요...
혹시 이거 뭐를 제가 잘못 눌러서 이렇게 된 건지 감이 오시는 분 있으면
알려주세요..

",No Comments Exist,No Answers Exist,#vim,,
194,우분투에서 윈도우 설치가 가능한지 궁금합니다.,"안녕하세요

우연치 않게 dell xps13 Ubuntu 제품을 구매하게 되어서 Ubuntu를 사용중인데..

업무상 윈도우에서 구동되는 프로그램들... 오피스, 한글 등을 사용해야 되어서

멀티 os를 설치 하려 합니다.

구글링을 해서 해당 자료를 찾아보는데.. 쉽지가 않아서요..

우선 가능한지 궁금합니다.

대부분 윈도우 설치를 먼저 한후 우분투를 설치하라고 되어 있긴한데..

반대 급부도 가능하지 않을까 싶어서요..

경험자 분들 계시면 답변 부탁 드립니다.

그럼 좋은 오후 되세요..^^",No Comments Exist,"
네 가능합니다. 단, 몇 가지 주의 사항이 있습니다.

우분투에서는 GRUB에서 멀티 부팅을 제공하지만, 윈도우는 멀티 부팅은 제공하나 우분투에서처럼 부팅시 선택하도록 제공하지는 않습니다.

따라서, 우분투 설치 후 윈도우를 설치하시면 운영체제 선택 화면이 나타나지 않습니다.

이때, 우분투 부팅 USB에서 부팅 하신 후 Boot-Repair 라는 프로그램을 다운받아 실행하시면 자동으로 멀티 부팅을 설정 해주게 됩니다.

Boot-Repair에 대한 자세한 사항은 http://harryp.tistory.com/236 을 참조하여 주십시오. 감사합니다.




<---------댓글----------->



*************************************************************
",우분투#윈도우#설치,,
195,우분투는 아니고 데비안 유저이지만 nvidia-prime을 설치하려고 하는데,"데비안 저장소에 nvidia-prime이 없길래 직접 trusty에 들어있는 deb 파일을 받았습니다.

그런데 설치하기 위해서 의존정 충돌때문에 systemd-sysv를 지워야 한다네요

해당 패키지가 무슨 기능을 하는건가요? 지워도 되나요?",No Comments Exist,"

https://packages.debian.org/sid/systemd-sysv
system and service manager - SysV links 로서, 해당 패키지를 삭제할 경우 리눅스 내의 서비스가 제대로 동작하지 않을 가능성이 있어 권장드리지 않습니다.
감사합니다.




<---------댓글----------->



*************************************************************
","엔비디아
옵티머스
데비안
nvidia
apt-get",,
196,로그인 시 비밀번호 확인을 안하는 이유가 뭘까요?,우분투 14.04LTS 에서 설정/사용자 계정에서 암호 설정을 했음에도 로그인 시 암호를 입력하지 않아도 로그인이 되는데 혹시 어떤 부분을 확인해야 할까요?,No Comments Exist,"
현재 사용자 계정이 로그인시 암호를 입력하지 않는 그룹에 속해 있을 확률이 높습니다.

sudo gpasswd -d 유저이름 nopasswdlogin 명령어를 통해 미입력 그룹에서 삭제하시고 다시 설정 해보시길 권장드립니다.




<---------댓글----------->



*************************************************************
","#우분투
#로그인",,
197,키보드 한영전환을 하려니 프리징이 걸려서 강제종료를 해야되요.,"리눅스는 제가 처음쓰기도 하고 배워보지도 않아서 너무 초보적인, 간단한 질문이라도 좀 양해해주세요.

일단 저는 삼성센스 넷북(자세한 기종은 중요한 것 같지 않으니 생략)에 루분투(32비트, 현 시점 최신버전)를 쓰고 있어요.

처음에 설치할 때 몇몇 기본 소프트웨어를 못깔았으니 알아서 설치하시던가 이런 식의 메시지를 봤어요.

그게 이유인지 어디 검색창이든 이름바꾸기든 입력을 하려고 밑의 작업표시줄에 키보드 아이콘을 좌클릭 하기만하면 강제종료가 아니면 풀리지도 않는 프리징이 걸려요.

덕분에 지금 노트북을 쓸 땐 강제로 영어만 쓰고있네요.
처음에 설치할 때 언어: 한글, 키보드: 한글-기본한글 로 설정했는데도 그러네요.

재설치를 하면 될지도 모르겠지만 일단 설치할 때 잘못된 점은 없었고 한번 설치하는데 30분 정도 걸려서 왠만하면 재설치하는 방법은 피했으면 하네요.",No Comments Exist,No Answers Exist,키보드,,
